,A,B,Du,Dv
0,0.5,0.625,1,11
1,0.5,0.625,1,18
2,0.5,0.625,1,4
3,0.5,0.625,3,12
4,0.5,0.625,3,33
5,0.5,0.625,3,54
6,0.5,1.0,1,11
7,0.5,1.0,1,18
8,0.5,1.0,1,4
9,0.5,1.0,3,12
10,0.5,1.0,3,33
11,0.5,1.0,3,54
12,0.5,1.5,1,11
13,0.5,1.5,1,18
14,0.5,1.5,1,4
15,0.5,1.5,3,12
16,0.5,1.5,3,33
17,0.5,1.5,3,54
18,0.5,2.0,1,11
19,0.5,2.0,1,18
20,0.5,2.0,1,4
21,0.5,2.0,3,12
22,0.5,2.0,3,33
23,0.5,2.0,3,54
24,1.0,1.25,1,11
25,1.0,1.25,1,18
26,1.0,1.25,1,4
27,1.0,1.25,3,12
28,1.0,1.25,3,33
29,1.0,1.25,3,54
30,1.0,2.0,1,11
31,1.0,2.0,1,18
32,1.0,2.0,1,4
33,1.0,2.0,3,12
34,1.0,2.0,3,33
35,1.0,2.0,3,54
36,1.0,3.0,1,11
37,1.0,3.0,1,18
38,1.0,3.0,1,4
39,1.0,3.0,3,12
40,1.0,3.0,3,33
41,1.0,3.0,3,54
42,1.0,4.0,1,11
43,1.0,4.0,1,18
44,1.0,4.0,1,4
45,1.0,4.0,3,12
46,1.0,4.0,3,33
47,1.0,4.0,3,54
48,1.5,1.875,1,11
49,1.5,1.875,1,18
50,1.5,1.875,1,4
51,1.5,1.875,3,12
52,1.5,1.875,3,33
53,1.5,1.875,3,54
54,1.5,3.0,1,11
55,1.5,3.0,1,18
56,1.5,3.0,1,4
57,1.5,3.0,3,12
58,1.5,3.0,3,33
59,1.5,3.0,3,54
60,1.5,4.5,1,11
61,1.5,4.5,1,18
62,1.5,4.5,1,4
63,1.5,4.5,3,12
64,1.5,4.5,3,33
65,1.5,4.5,3,54
66,1.5,6.0,1,11
67,1.5,6.0,1,18
68,1.5,6.0,1,4
69,1.5,6.0,3,12
70,1.5,6.0,3,33
71,1.5,6.0,3,54
72,2.0,2.5,1,11
73,2.0,2.5,1,18
74,2.0,2.5,1,4
75,2.0,2.5,3,12
76,2.0,2.5,3,33
77,2.0,2.5,3,54
78,2.0,4.0,1,11
79,2.0,4.0,1,18
80,2.0,4.0,1,4
81,2.0,4.0,3,12
82,2.0,4.0,3,33
83,2.0,4.0,3,54
84,2.0,6.0,1,11
85,2.0,6.0,1,18
86,2.0,6.0,1,4
87,2.0,6.0,3,12
88,2.0,6.0,3,33
89,2.0,6.0,3,54
90,2.0,8.0,1,11
91,2.0,8.0,1,18
92,2.0,8.0,1,4
93,2.0,8.0,3,12
94,2.0,8.0,3,33
95,2.0,8.0,3,54
96,5.0,10.0,1,11
97,5.0,10.0,1,18
98,5.0,10.0,1,4
99,5.0,10.0,3,12
100,5.0,10.0,3,33
101,5.0,10.0,3,54
102,5.0,15.0,1,11
103,5.0,15.0,1,18
104,5.0,15.0,1,4
105,5.0,15.0,3,12
106,5.0,15.0,3,33
107,5.0,15.0,3,54
108,5.0,20.0,1,11
109,5.0,20.0,1,18
110,5.0,20.0,1,4
111,5.0,20.0,3,12
112,5.0,20.0,3,33
113,5.0,20.0,3,54
114,5.0,6.25,1,11
115,5.0,6.25,1,18
116,5.0,6.25,1,4
117,5.0,6.25,3,12
118,5.0,6.25,3,33
