,model,A,B,Nx,dx,Nt,dt,Du,Dv,sigma_ic_u,sigma_ic_v,n_snapshots,filename,run_id,num_sources,final_deviation,mean_deviation,std_deviation,max_derivative,category
556,bruss,0.5,1.0,128,1.0,40000,0.0025,3.0,24.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/a29feac2-d1d9-41bc-addb-46240e9f62ce_output.nc,abd_big,0,0.0034880927,0.003488093,0.0,0.0,steady_state
83,bruss,0.5,0.875,128,1.0,40000,0.0025,3.0,48.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/7a7ef36b-87a6-43ac-a7eb-b718b42a6fbc_output.nc,abd_big,0,0.0052856654,0.0052856654,0.0,0.0,steady_state
3,bruss,5.0,6.25,128,1.0,40000,0.0025,2.0,8.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/e4f3cc9c-6c87-4499-a807-892aafc05515_output.nc,abd_big,0,0.007949855,0.007949856,0.0,0.0,steady_state
126,bruss,1.0,1.25,128,1.0,40000,0.0025,2.0,8.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/26cd8a72-3534-4f10-8701-f057e61907f8_output.nc,abd_big,0,0.0029178488,0.0029178488,0.0,0.0,steady_state
288,bruss,1.0,1.25,128,1.0,40000,0.0025,3.0,33.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/58fd066f-3fe2-4d89-82e0-a6aad323d221_output.nc,abd_big,0,0.004814504,0.0048145046,0.0,0.0,steady_state
581,bruss,0.75,0.9375,128,1.0,40000,0.0025,1.0,11.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/ca610c66-e2e8-440d-a74b-2746dfcaee0c_output.nc,abd_big,0,0.0030204805,0.0030204805,0.0,0.0,steady_state
230,bruss,0.75,1.5,128,1.0,40000,0.0025,1.0,14.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/af9d91d8-d0f3-48bc-9cca-e270f27dc528_output.nc,abd_big,0,110.53356,110.02911,110.12457,970.2028,interesting_behavior
341,bruss,2.0,5.0,128,1.0,40000,0.0025,2.0,16.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/bd409f5c-2223-4ba3-a686-6f4775dc2af3_output.nc,abd_big,0,253.36665,253.26677,36.362553,751.4305,interesting_behavior
306,bruss,3.0,9.0,128,1.0,40000,0.0025,2.0,16.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/dc1b3d27-2fab-4bc8-a953-9f57eb5a607d_output.nc,abd_big,0,418.08136,417.98315,116.33452,935.9179,interesting_behavior
680,bruss,1.0,3.0,128,1.0,40000,0.0025,2.0,22.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/299943fb-4d36-4ce7-b1dd-df36fb1c6ee0_output.nc,abd_big,0,232.97125,232.94913,22.589848,522.9135,interesting_behavior
460,bruss,2.0,6.0,128,1.0,40000,0.0025,2.0,28.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/8c0ca1ae-5f8e-4ac0-8672-d6d7a8919ba1_output.nc,abd_big,0,387.79883,387.73157,69.29825,1049.475,interesting_behavior
594,bruss,0.75,1.875,128,1.0,40000,0.0025,3.0,48.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/97a11238-63d9-4d64-bb23-3acc6190bddb_output.nc,abd_big,0,180.70894,180.61565,33.18268,486.0649,interesting_behavior
79,bruss,2.0,4.0,128,1.0,40000,0.0025,1.0,11.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/f2cd0744-a37e-4910-b7d3-869c18f3480b_output.nc,abd_big,0,242.8795,242.62698,64.65401,900.34973,interesting_behavior
598,bruss,1.0,1.75,128,1.0,40000,0.0025,1.0,18.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/77b71775-19d0-4dc1-aaf9-4d0f4eaee6f0_output.nc,abd_big,0,138.83,138.73576,70.7011,639.2918,interesting_behavior
389,bruss,1.5,2.625,128,1.0,40000,0.0025,1.0,14.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/b5ada3c5-d95e-4080-9bef-acf67dd67f6d_output.nc,abd_big,0,179.24619,179.15173,73.0526,766.305,interesting_behavior
449,bruss,2.0,6.0,128,1.0,40000,0.0025,2.0,32.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/191e25ee-bbff-43da-adf0-e6ea9ece20b4_output.nc,abd_big,0,408.14078,408.11377,36.756664,978.4635,interesting_behavior
287,bruss,3.0,9.0,128,1.0,40000,0.0025,2.0,32.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/6e703785-4443-4002-a851-99bf01788af2_output.nc,abd_big,0,564.2993,564.26935,238.81226,920.9129,interesting_behavior
392,bruss,1.5,4.5,128,1.0,40000,0.0025,3.0,12.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/319f2fed-fb09-4429-8aea-9be0f310f71b_output.nc,abd_big,0,169.1786,169.18625,16.8248,481.36798,interesting_behavior
718,bruss,1.5,3.0,128,1.0,40000,0.0025,2.0,16.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/2f6d1ae2-845a-4e30-8cdb-0e7278e1e47d_output.nc,abd_big,0,145.7191,145.68611,25.868797,395.13785,interesting_behavior
57,bruss,0.75,1.5,128,1.0,40000,0.0025,2.0,22.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/09457ae0-e525-404a-889c-a978da695a2b_output.nc,abd_big,0,1.0234978,1.0429714,1.3047374,5.9200015,varying
112,bruss,0.5,1.25,128,1.0,40000,0.0025,1.0,14.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/1b13586a-6e53-4097-9a88-d26499238a84_output.nc,abd_big,0,39.081207,36.167694,178.2191,1622.2681,varying
195,bruss,0.5,1.25,128,1.0,40000,0.0025,2.0,32.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/82ae511f-0ad7-4774-bb07-61dbed7436c0_output.nc,abd_big,0,40.990196,35.46587,498.25262,2035.8181,varying
235,bruss,0.5,1.25,128,1.0,40000,0.0025,1.0,8.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/7312161a-f736-4ac2-8d76-4b56aa3e2223_output.nc,abd_big,0,0.5580368,0.9506093,51.306168,256.87076,varying
620,bruss,0.5,1.25,128,1.0,40000,0.0025,1.0,11.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/e058f83e-bfb8-4daa-bf6e-b6e6907a2913_output.nc,abd_big,0,0.4927067,0.8666786,48.129078,232.86226,varying
639,bruss,0.5,1.25,128,1.0,40000,0.0025,1.0,4.0,0.1,0.1,100,/cluster/scratch/vogtva/data/bruss/abd_big/bd5e6ac1-4f28-4fb5-b99c-c01c9b8fd809_output.nc,abd_big,0,0.90201133,1.5308267,82.97988,410.94968,varying
